Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort	     Comb Sort	 Cocktail Sort
50	116861.48	19167.006	191062.22	115254.83	151501.69	289047.53
100	109197.99	87764.87	191003.14	26062.51	298983.97	152574.73
150	176089.77	244401.77	90253.17	78787.55	26393.295	135496.69
200	287740.7	129683.62	100074.12	38636.38	41117.637	286195.34
250	437307.16	190776.23	198045.2	62730.34	84723.62	351997.56
300	690069.7	277631.38	192005.12	150440.86	110190.56	477077.75
350	908524.6	382885.53	259804.42	75200.39	100903.62	708985.8
400	1028677.94	455899.9	339782.84	89759.32	118683.4	846044.25
450	1332227.5	589853.5	399972.88	101095.08	134435.77	1132282.5
500	1719415.9	963320.0	469844.4	130305.14	156594.36	1347953.9
550	1793545.6	808400.8	579659.2	116821.32	161918.36	1396113.5
600	2318284.2	1027390.2	676800.6	145811.56	194975.56	1732545.5
650	3255029.5	1333045.8	867428.06	162135.81	371648.88	2464005.0
700	4162412.8	1571411.4	1141623.2	171226.44	244933.45	2913907.5
750	3613903.2	1629541.5	1145688.6	181520.27	244548.16	2761879.8
800	4663049.5	2008664.6	1391080.5	224147.8	307276.1	3739902.8
850	5093653.0	2165576.2	1427242.1	222396.7	317718.75	4106002.0
900	4696513.5	2066354.8	1434710.1	200951.81	275412.44	3557814.0
950	5221655.5	2306211.5	1594629.0	213825.92	301711.16	3954467.0
1000	5830291.0	2559354.0	1753707.0	227368.6	306047.4	4376503.5
